"total_females_in_the_household","females_younger_than_12_years_of_age","monthly_rent_payment","number_of_all_rooms_in_the_house","if_the_household_has_refrigerator","total_males_in_the_household","persons_younger_than_12_years_of_age","males_12_years_of_age_and_older","overcrowding_by_rooms","males_younger_than_12_years_of_age","females_12_years_of_age_and_older","overcrowding_by_bedrooms","id","has_bathroom_in_the_household","persons_12_years_of_age_and_older","target","allocated_cluster"
2,1,0,8,1,4,2,3,0,1,1,0,"ID_ef9860d6a",1,4,"one",7
2,0,2e+05,5,1,2,1,1,0,1,2,0,"ID_cb1b1204c",1,3,"four",1
2,0,0,7,1,2,0,2,0,0,2,0,"ID_a508af078",1,4,"four",8
1,0,35000,4,1,1,0,1,0,0,1,0,"ID_3b13c4c60",1,2,"four",2
1,0,0,5,1,0,0,0,0,0,1,0,"ID_14dbfebf2",1,1,"three",2
1,0,0,5,1,2,1,1,0,1,1,0,"ID_d594e3371",1,2,"three",2
1,0,0,4,1,0,0,0,0,0,1,0,"ID_b27978538",1,1,"two",2
1,0,0,8,0,2,1,1,0,1,1,0,"ID_308a05a16",1,2,"two",5
1,0,0,5,1,2,0,2,0,0,1,0,"ID_cc60d8fad",1,3,"four",8
2,0,0,6,1,3,0,3,0,0,2,0,"ID_02e3de257",1,5,"four",8
3,0,0,5,1,1,0,1,0,0,3,0,"ID_4f4963bf1",1,4,"four",1
1,0,0,6,1,1,0,1,0,0,1,0,"ID_1f198a024",1,2,"four",2
1,0,0,6,1,1,0,1,0,0,1,0,"ID_c9159b288",1,2,"four",2
2,0,85000,6,1,1,0,1,0,0,2,0,"ID_8f70092db",1,3,"four",1
1,0,0,3,1,2,1,1,0,1,1,0,"ID_593bab4b0",1,2,"two",2
0,0,180000,3,1,2,0,2,0,0,0,0,"ID_9c88e4170",1,2,"four",2
2,0,0,5,1,2,1,1,0,1,2,0,"ID_4b5353c82",1,3,"three",1
1,0,1e+05,3,1,1,0,1,0,0,1,0,"ID_ad362fa9e",1,2,"four",2
4,1,0,5,0,2,3,0,0,2,3,0,"ID_3c1e0bfd7",1,3,"one",7
1,0,0,4,1,1,0,1,0,0,1,0,"ID_0406c2534",1,2,"four",2
3,1,250000,6,1,1,1,1,0,0,2,0,"ID_b5a49e207",1,3,"four",1
3,1,50000,5,1,2,2,1,0,1,2,0,"ID_18f23be74",1,3,"two",7
3,0,0,5,1,2,0,2,0,0,3,0,"ID_32bd2b66a",1,5,"two",4
3,1,0,5,1,1,1,1,0,0,2,0,"ID_897afc8d3",1,3,"four",1
1,0,0,2,1,2,2,0,0,2,1,0,"ID_86e12edac",1,1,"one",7
2,0,0,5,1,3,0,3,0,0,2,0,"ID_02cdd5b3c",1,5,"four",8
1,0,32600,5,1,1,0,1,0,0,1,0,"ID_e94c7f533",1,2,"four",2
2,1,350000,6,1,1,1,1,0,0,1,0,"ID_7500b277e",1,2,"four",1
2,0,0,4,1,0,0,0,0,0,2,0,"ID_3d352f7af",1,2,"four",1
1,0,0,4,1,4,2,2,0,2,1,0,"ID_528ed8ed7",1,3,"four",7
1,0,0,5,1,3,0,3,0,0,1,0,"ID_ac4dbecf6",1,4,"four",8
1,0,0,3,1,0,0,0,0,0,1,0,"ID_c094a029d",1,1,"two",2
7,1,0,5,1,1,1,1,0,0,6,0,"ID_2c87f1b60",1,7,"four",4
1,0,13000,3,1,2,1,1,0,1,1,0,"ID_989d93ad5",1,2,"three",2
0,0,0,5,1,1,0,1,0,0,0,0,"ID_c5682796d",1,1,"three",2
1,0,0,6,1,1,0,1,0,0,1,0,"ID_5082652a3",1,2,"four",2
4,2,0,8,1,2,2,2,0,0,2,0,"ID_412931194",1,4,"four",4
1,0,80000,5,1,1,0,1,0,0,1,0,"ID_03a2c624f",1,2,"four",2
1,0,0,4,1,1,0,1,0,0,1,0,"ID_e2726a242",1,2,"four",2
0,0,249896,4,1,1,0,1,0,0,0,0,"ID_e92aa36f0",1,1,"one",2
2,1,0,3,1,2,2,1,0,1,1,0,"ID_4d58f913f",1,2,"four",7
1,0,0,5,1,3,0,3,0,0,1,0,"ID_d9d62999e",1,4,"four",8
2,0,480000,6,1,2,1,1,0,1,2,0,"ID_625b68701",1,3,"four",1
2,0,0,6,1,2,1,1,0,1,2,0,"ID_3281389b5",1,3,"four",1
1,0,0,5,0,0,0,0,0,0,1,0,"ID_29622421d",1,1,"two",5
2,1,0,4,1,1,1,1,0,0,1,0,"ID_ed3ce1f35",1,2,"four",1
0,0,150000,3,1,1,0,1,0,0,0,0,"ID_6c686940d",1,1,"four",2
2,1,0,6,1,1,1,1,0,0,1,0,"ID_7b50252d4",1,2,"four",1
4,1,0,5,1,0,1,0,0,0,3,0,"ID_ad6dfbfa5",1,3,"one",1
1,0,0,2,1,2,1,1,0,1,1,0,"ID_e46213c97",1,2,"two",2
4,2,0,3,1,1,2,1,0,0,2,0,"ID_823bfb900",1,3,"two",7
1,0,0,4,1,1,0,1,0,0,1,0,"ID_07cb6ab80",1,2,"four",2
0,0,30000,5,0,1,0,1,0,0,0,0,"ID_8aaf053f6",1,1,"three",5
1,0,0,5,1,2,0,2,0,0,1,0,"ID_b4da46362",1,3,"four",8
4,1,0,4,1,5,1,5,1,0,3,1,"ID_c82a088ea",1,8,"three",3
2,0,140000,5,1,2,1,1,0,1,2,0,"ID_bf63526c6",1,3,"four",1
3,2,0,7,1,2,2,2,0,0,1,0,"ID_104a49347",1,3,"four",7
1,0,0,4,1,1,0,1,0,0,1,0,"ID_dcfe55146",1,2,"one",2
1,0,0,7,1,0,0,0,0,0,1,0,"ID_b400ef423",1,1,"four",2
0,0,40000,1,0,1,0,1,0,0,0,0,"ID_a0fb0a5c4",0,1,"two",6
3,1,50000,5,1,1,1,1,0,0,2,0,"ID_ca8a5a349",1,3,"three",1
2,0,0,8,1,1,0,1,0,0,2,0,"ID_26d82c0e2",1,3,"four",1
1,0,0,4,1,0,0,0,0,0,1,0,"ID_74e989389",1,1,"four",2
1,0,0,4,1,0,0,0,0,0,1,0,"ID_efc91e9a9",1,1,"two",2
1,0,0,9,1,1,0,1,0,0,1,0,"ID_738c6feb5",1,2,"four",2
4,2,0,4,1,2,3,1,0,1,2,0,"ID_abbbe001a",1,3,"two",7
1,0,70000,3,1,0,0,0,0,0,1,0,"ID_feec8baed",1,1,"four",2
2,1,0,4,1,1,1,1,0,0,1,0,"ID_c2e27b059",1,2,"four",1
2,0,3e+05,5,1,2,0,2,0,0,2,0,"ID_2e489189e",1,4,"four",8
1,0,0,5,1,1,0,1,0,0,1,0,"ID_a4782720b",1,2,"four",2
1,0,0,9,1,1,0,1,0,0,1,0,"ID_fce717c93",1,2,"four",2
0,0,0,6,1,3,0,3,0,0,0,0,"ID_354b4db03",1,3,"four",8
4,1,0,4,1,3,3,1,0,2,3,1,"ID_aeb083c4e",1,4,"one",3
3,1,0,6,1,3,2,2,0,1,2,0,"ID_20b371ca7",1,4,"three",7
3,0,140000,4,1,2,1,1,0,1,3,0,"ID_3c2491b0f",1,4,"two",4
2,1,0,3,1,1,1,1,0,0,1,0,"ID_3fae3a18e",1,2,"four",1
1,0,1e+05,4,1,1,0,1,0,0,1,0,"ID_c962e0e82",1,2,"four",2
0,0,0,4,1,1,0,1,0,0,0,0,"ID_fc6069d5e",1,1,"four",2
2,1,45000,4,1,2,2,1,0,1,1,0,"ID_d8fc8e9e5",1,2,"three",7
0,0,1e+05,3,1,1,0,1,0,0,0,0,"ID_ef5ba3988",1,1,"four",2
1,0,0,4,1,0,0,0,0,0,1,0,"ID_06cf4f28f",1,1,"three",2
1,0,0,3,1,2,0,2,0,0,1,0,"ID_f706a490d",1,3,"two",8
0,0,0,4,1,1,0,1,0,0,0,0,"ID_1fe80ce7b",1,1,"four",2
1,0,110000,4,1,3,1,2,0,1,1,0,"ID_1815b0a6e",1,3,"four",8
1,0,0,4,1,1,0,1,0,0,1,0,"ID_182365868",1,2,"three",2
2,0,0,5,1,1,1,0,0,1,2,0,"ID_9c63c4c0a",1,2,"one",1
1,0,0,2,1,2,1,1,0,1,1,0,"ID_b8d028a84",1,2,"one",2
3,2,0,7,1,1,3,0,0,1,1,0,"ID_989352628",1,1,"one",7
1,0,0,6,1,1,0,1,0,0,1,0,"ID_539248977",1,2,"four",2
2,0,0,6,1,1,0,1,0,0,2,0,"ID_e6061d831",1,3,"four",1
1,0,456432,6,1,2,0,2,0,0,1,0,"ID_3287c24cb",1,3,"four",8
2,0,0,5,1,3,1,2,0,1,2,0,"ID_f92637133",1,4,"four",8
2,1,0,5,1,3,1,3,0,0,1,0,"ID_60d38257d",1,4,"two",8
3,0,0,6,1,1,0,1,0,0,3,0,"ID_f7eff151f",1,4,"three",1
1,0,0,4,1,0,0,0,0,0,1,0,"ID_329d68d0c",1,1,"three",2
1,0,0,5,1,3,0,3,0,0,1,0,"ID_2d7e7d8d1",1,4,"three",8
4,1,0,10,1,2,1,2,0,0,3,0,"ID_6eaba237a",1,5,"four",4
1,0,2e+05,5,1,1,0,1,0,0,1,0,"ID_2a87058be",1,2,"four",2
3,1,0,4,0,1,1,1,0,0,2,0,"ID_b8f682148",1,3,"three",5
2,0,0,7,1,4,0,4,0,0,2,0,"ID_f48ba6a44",1,6,"three",8
1,0,0,8,1,1,0,1,0,0,1,0,"ID_c51c60542",1,2,"four",2
1,0,0,7,1,2,0,2,0,0,1,0,"ID_17dc64a09",1,3,"one",8
1,0,0,4,1,1,0,1,0,0,1,0,"ID_feda408ee",1,2,"four",2
3,1,0,5,1,3,2,2,0,1,2,0,"ID_10640aba9",1,4,"two",7
0,0,420000,5,1,2,0,2,0,0,0,0,"ID_b90438730",1,2,"four",2
2,0,0,6,1,0,0,0,0,0,2,0,"ID_93f0843e6",1,2,"two",1
2,0,3e+05,6,1,0,0,0,0,0,2,0,"ID_dc4d4cca0",1,2,"four",1
2,0,0,5,1,2,1,1,0,1,2,0,"ID_8e98aa7ab",1,3,"four",1
2,1,0,3,0,4,3,2,0,2,1,0,"ID_ee5256dfd",1,3,"two",7
1,0,0,6,1,3,0,3,0,0,1,0,"ID_e25276d79",1,4,"four",8
1,0,0,2,1,1,0,1,0,0,1,0,"ID_767f269a2",1,2,"four",2
1,0,40000,4,1,1,0,1,0,0,1,0,"ID_5f199ef06",1,2,"four",2
1,0,0,7,1,3,0,3,0,0,1,0,"ID_9233e06e6",1,4,"four",8
1,0,0,5,1,2,1,1,0,1,1,0,"ID_1bbcf6f2a",1,2,"four",2
1,0,0,6,1,1,0,1,0,0,1,0,"ID_5cfb8ca3e",1,2,"four",2
2,1,0,6,1,4,3,2,0,2,1,0,"ID_fc355fc5a",1,3,"two",7
0,0,0,4,1,1,0,1,0,0,0,0,"ID_65e72b95f",1,1,"two",2
1,0,0,5,1,3,0,3,0,0,1,0,"ID_f7f4eac3f",1,4,"four",8
1,0,0,5,1,1,0,1,0,0,1,0,"ID_7514f57ec",1,2,"four",2
3,1,178000,5,1,2,1,2,0,0,2,0,"ID_359c032fa",1,4,"four",4
3,1,0,5,1,1,1,1,0,0,2,0,"ID_598ae4de4",1,3,"four",1
3,0,0,8,1,1,0,1,0,0,3,0,"ID_e78ac04eb",1,4,"four",4
2,1,0,5,1,1,1,1,0,0,1,0,"ID_9956b9d20",1,2,"two",1
0,0,0,4,1,1,0,1,0,0,0,0,"ID_134ed50ff",1,1,"four",2
1,0,0,4,1,3,0,3,0,0,1,0,"ID_8c3b30fef",1,4,"two",8
1,0,0,1,1,0,0,0,0,0,1,0,"ID_875f3f1c4",1,1,"one",2
3,1,0,5,1,3,1,3,0,0,2,0,"ID_259245bf4",1,5,"two",4
1,0,0,5,1,1,0,1,0,0,1,0,"ID_1460a57eb",1,2,"four",2
0,0,0,5,1,2,0,2,0,0,0,0,"ID_136e465f7",1,2,"two",2
0,0,0,4,0,1,0,1,0,0,0,0,"ID_a8b699807",1,1,"two",5
1,0,1e+06,6,1,0,0,0,0,0,1,0,"ID_e684562f2",1,1,"four",2
4,1,180000,4,1,1,1,1,0,0,3,0,"ID_0e9f29cf4",1,4,"two",4
1,0,75000,5,1,2,0,2,0,0,1,0,"ID_951684f5a",1,3,"four",8
2,0,0,4,1,2,0,2,0,0,2,0,"ID_1bf496dbc",1,4,"four",8
2,1,0,3,1,2,2,1,0,1,1,0,"ID_64372499a",1,2,"two",7
2,1,0,3,1,1,2,0,0,1,1,0,"ID_8205857d8",1,1,"two",7
1,0,525000,5,1,1,0,1,0,0,1,0,"ID_37eca8f67",1,2,"four",2
0,0,0,6,1,1,0,1,0,0,0,0,"ID_54d85a405",1,1,"four",2
1,0,150000,5,1,1,0,1,0,0,1,0,"ID_2b333e36f",1,2,"four",2
5,2,0,4,1,1,2,1,0,0,3,0,"ID_e281c9b27",1,4,"four",4
1,0,0,4,1,2,0,2,0,0,1,0,"ID_60fed0cc4",1,3,"four",8
2,0,0,4,1,1,0,1,0,0,2,0,"ID_6c3758624",1,3,"four",1
0,0,0,6,1,2,0,2,0,0,0,0,"ID_eb5fa8e90",1,2,"four",2
2,0,278000,3,0,0,0,0,0,0,2,0,"ID_87dd625b1",1,2,"four",5
1,0,160000,6,1,1,0,1,0,0,1,0,"ID_cdae13a18",1,2,"two",2
1,0,0,6,1,1,0,1,0,0,1,0,"ID_3d9870f8a",1,2,"two",2
1,0,0,4,1,3,2,1,0,2,1,0,"ID_cae9f9c2d",1,2,"two",7
2,1,165000,4,1,3,1,3,0,0,1,0,"ID_e2a67b603",1,4,"four",8
2,0,0,5,1,1,0,1,0,0,2,0,"ID_ee8239c32",1,3,"four",1
3,1,0,5,1,1,1,1,0,0,2,0,"ID_14b64e825",1,3,"four",1
3,1,110000,5,1,1,1,1,0,0,2,0,"ID_09eb64329",1,3,"four",1
1,0,0,4,1,1,0,1,0,0,1,0,"ID_b75c1d362",1,2,"one",2
1,0,0,5,1,1,0,1,0,0,1,0,"ID_552e1a612",1,2,"four",2
3,1,0,6,1,3,1,3,0,0,2,0,"ID_76da0aee3",1,5,"four",4
1,0,150000,4,1,0,0,0,0,0,1,0,"ID_fc1684bb8",1,1,"four",2
1,0,0,4,1,0,0,0,0,0,1,0,"ID_ade6904c8",1,1,"two",2
2,1,0,4,1,2,1,2,0,0,1,0,"ID_cc685ac48",1,3,"two",8
2,1,3e+05,5,1,2,2,1,0,1,1,0,"ID_62f1311a5",1,2,"four",7
2,0,0,5,1,2,0,2,0,0,2,0,"ID_43466e728",1,4,"two",8
0,0,360000,6,1,1,0,1,0,0,0,0,"ID_2b7b99604",1,1,"four",2
2,0,0,7,1,3,0,3,0,0,2,0,"ID_012bcdcc9",1,5,"four",8
3,1,3e+05,5,1,1,1,1,0,0,2,0,"ID_2399e1e3e",1,3,"four",1
1,0,288750,5,1,1,0,1,0,0,1,0,"ID_61043cdb0",1,2,"four",2
2,1,0,5,1,2,2,1,0,1,1,0,"ID_4dc6a4d2b",1,2,"four",7
2,0,0,5,1,1,0,1,0,0,2,0,"ID_5e8e1795d",1,3,"two",1
1,0,0,4,1,1,0,1,0,0,1,0,"ID_bef084b58",1,2,"four",2
1,0,0,6,1,1,0,1,0,0,1,0,"ID_6b4fc948a",1,2,"four",2
1,0,20000,3,1,4,3,1,0,3,1,0,"ID_0c8cf2adf",1,2,"two",7
1,0,456432,5,1,3,1,2,0,1,1,0,"ID_6e2bc0523",1,3,"four",8
2,0,0,4,1,1,0,1,0,0,2,0,"ID_4a6255ab3",1,3,"two",1
0,0,0,6,1,1,0,1,0,0,0,0,"ID_2c8bd6e3c",1,1,"two",2
3,0,0,7,1,1,0,1,0,0,3,0,"ID_e0703f1d7",1,4,"four",4
3,1,0,6,1,2,1,2,0,0,2,0,"ID_efe69942a",1,4,"four",4
1,0,0,4,1,5,2,3,0,2,1,0,"ID_ae16aa0ac",1,4,"two",7
2,0,1e+05,3,1,1,0,1,0,0,2,0,"ID_afbc25a99",1,3,"four",1
2,0,50000,4,1,1,1,0,0,1,2,0,"ID_bf4751bc1",1,2,"three",1
4,1,0,4,1,1,1,1,0,0,3,0,"ID_47608aea0",1,4,"three",4
1,0,0,4,1,2,0,2,0,0,1,0,"ID_c8a30b79b",1,3,"four",8
0,0,0,4,1,3,0,3,0,0,0,0,"ID_9858698ff",1,3,"four",8
4,1,0,5,1,1,1,1,0,0,3,0,"ID_a38cf6d77",1,4,"four",4
3,0,25000,5,1,2,1,1,0,1,3,0,"ID_57fe1193b",1,4,"three",4
2,0,0,4,1,2,0,2,0,0,2,0,"ID_fac049050",1,4,"two",8
2,1,0,6,1,1,1,1,0,0,1,0,"ID_53e7665d6",1,2,"four",1
1,0,0,4,1,1,0,1,0,0,1,0,"ID_a3423f159",1,2,"two",2
2,1,0,4,1,2,2,1,0,1,1,0,"ID_bb83ff26d",1,2,"four",7
1,0,80000,3,1,3,1,2,0,1,1,0,"ID_54b59f416",1,3,"four",8
2,1,120000,4,1,3,2,2,0,1,1,0,"ID_30aae0070",1,3,"four",7
4,2,0,3,1,3,3,2,1,1,2,1,"ID_b0adca84e",1,4,"two",3
1,0,0,6,1,1,0,1,0,0,1,0,"ID_12836844f",1,2,"four",2
1,0,0,4,1,0,0,0,0,0,1,0,"ID_bce554d9d",1,1,"two",2
1,0,0,5,1,1,0,1,0,0,1,0,"ID_6a758ab9b",1,2,"four",2
2,1,0,5,1,1,1,1,0,0,1,0,"ID_35f4dab3c",1,2,"three",1
1,0,150000,3,1,0,0,0,0,0,1,0,"ID_9bc8870b9",1,1,"three",2
1,0,0,5,1,5,2,3,0,2,1,0,"ID_0c9d9c97f",1,4,"two",7
2,0,0,5,1,1,0,1,0,0,2,0,"ID_20d5ee8dc",1,3,"four",1
1,0,285270,6,1,2,1,1,0,1,1,0,"ID_c2000acd5",1,2,"four",2
1,0,0,5,1,1,0,1,0,0,1,0,"ID_25ccfc265",1,2,"four",2
1,0,2e+05,4,1,1,0,1,0,0,1,0,"ID_d3ff5b93f",1,2,"four",2
2,0,0,6,1,3,0,3,0,0,2,0,"ID_409f605ae",1,5,"four",8
2,1,0,5,1,2,2,1,0,1,1,0,"ID_febc3d424",1,2,"three",7
1,0,0,6,1,1,0,1,0,0,1,0,"ID_4ed1a2197",1,2,"four",2
1,0,280000,5,1,1,0,1,0,0,1,0,"ID_fa115f216",1,2,"four",2
1,0,0,6,1,2,0,2,0,0,1,0,"ID_edff88e98",1,3,"four",8
1,0,0,4,1,0,0,0,0,0,1,0,"ID_3ca15d907",1,1,"four",2
1,0,0,6,1,2,0,2,0,0,1,0,"ID_e98b98747",1,3,"four",8
1,0,0,6,1,1,0,1,0,0,1,0,"ID_016f875fa",1,2,"four",2
4,2,80000,4,1,1,2,1,0,0,2,0,"ID_6928ebc91",1,3,"two",7
0,0,0,6,1,1,0,1,0,0,0,0,"ID_49ad052ca",1,1,"four",2
1,0,210000,3,1,3,0,3,0,0,1,0,"ID_70731b850",1,4,"four",8
0,0,0,3,1,1,0,1,0,0,0,0,"ID_f27e0482b",1,1,"three",2
5,2,0,5,1,2,3,1,0,1,3,0,"ID_a9e93f475",1,4,"one",7
0,0,0,5,1,2,0,2,0,0,0,0,"ID_ef71ef568",1,2,"four",2
3,2,140000,5,1,2,3,1,0,1,1,0,"ID_1121279d0",1,2,"two",7
1,0,0,5,1,1,0,1,0,0,1,0,"ID_de8cb1951",1,2,"four",2
1,0,0,4,1,1,0,1,0,0,1,0,"ID_68ec000c5",1,2,"four",2
3,0,0,5,1,1,0,1,0,0,3,0,"ID_45be47a1a",1,4,"four",1
1,0,0,5,1,2,0,2,0,0,1,0,"ID_732f1cd16",1,3,"four",8
2,1,0,6,1,3,2,2,0,1,1,0,"ID_cc9ae0c9c",1,3,"three",7
1,0,0,8,1,0,0,0,0,0,1,0,"ID_68de51c94",1,1,"four",2
4,1,0,5,1,3,3,1,0,2,3,0,"ID_1a89e4ced",1,4,"four",7
1,0,140000,4,1,2,0,2,0,0,1,0,"ID_7b084c3b7",1,3,"four",8
0,0,0,4,1,1,0,1,0,0,0,0,"ID_256a12ccc",1,1,"four",2
2,0,185000,4,1,1,0,1,0,0,2,0,"ID_c418d0210",1,3,"four",1
3,0,3e+05,4,1,0,0,0,0,0,3,0,"ID_e77e10047",1,3,"four",1
1,0,0,3,1,0,0,0,0,0,1,0,"ID_299064d93",1,1,"four",2
2,1,8e+05,5,1,2,2,1,0,1,1,0,"ID_dfbba6226",1,2,"four",7
2,0,0,3,1,0,0,0,0,0,2,0,"ID_acd3558a0",1,2,"four",1
1,0,0,3,1,2,1,1,0,1,1,0,"ID_936df30b5",1,2,"two",2
0,0,0,3,1,1,0,1,0,0,0,0,"ID_00186dde5",1,1,"four",2
4,1,0,3,1,2,1,2,0,0,3,0,"ID_4f08bbe09",1,5,"two",4
1,0,0,4,1,3,0,3,0,0,1,0,"ID_51df52a6a",1,4,"four",8
2,0,2e+05,7,1,1,0,1,0,0,2,0,"ID_c44682ddb",1,3,"four",1
2,0,0,4,1,1,0,1,0,0,2,0,"ID_b38c1307f",1,3,"four",1
3,0,0,6,1,2,0,2,0,0,3,0,"ID_e3dc01489",1,5,"three",4
4,1,80000,5,1,1,1,1,0,0,3,0,"ID_f826c775f",1,4,"one",4
2,1,0,4,1,1,1,1,0,0,1,0,"ID_d9c157b9f",1,2,"four",1
3,0,0,3,1,1,0,1,0,0,3,0,"ID_481e674a2",1,4,"four",1
4,1,120000,4,1,2,2,1,0,1,3,0,"ID_cec034464",1,4,"four",4
2,0,0,5,1,4,1,3,0,1,2,0,"ID_d2d479e38",1,5,"four",8
3,2,0,6,1,0,2,0,0,0,1,0,"ID_3d90b321a",1,1,"four",7
1,0,0,8,1,1,0,1,0,0,1,0,"ID_38191af15",1,2,"four",2
1,0,0,4,1,1,0,1,0,0,1,0,"ID_5e93bad03",1,2,"four",2
1,0,50000,3,1,2,0,2,0,0,1,0,"ID_a8fddee2b",1,3,"four",8
1,0,0,4,1,1,0,1,0,0,1,0,"ID_bb60f44f2",1,2,"four",2
1,0,0,4,1,2,0,2,0,0,1,0,"ID_13c9d5a0a",1,3,"four",8
2,1,0,4,1,1,2,0,0,1,1,0,"ID_8d2bc24e3",1,1,"two",7
1,0,0,2,1,1,0,1,0,0,1,0,"ID_09389d0de",1,2,"four",2
3,1,0,6,1,2,1,2,0,0,2,0,"ID_13c4fff5e",1,4,"four",4
3,0,130000,5,1,2,0,2,0,0,3,0,"ID_97569d8e2",1,5,"four",4
2,0,0,7,1,2,0,2,0,0,2,0,"ID_d486eb043",1,4,"four",8
3,0,0,5,1,0,0,0,0,0,3,0,"ID_87f6726ac",1,3,"two",1
3,0,80000,5,1,0,0,0,0,0,3,0,"ID_b0e6b0012",1,3,"four",1
1,0,0,6,1,1,0,1,0,0,1,0,"ID_edb1ea188",1,2,"four",2
2,0,0,5,1,1,0,1,0,0,2,0,"ID_68d92fd0f",1,3,"four",1
1,0,250000,4,1,2,0,2,0,0,1,0,"ID_9321b0df7",1,3,"four",8
2,1,620000,6,1,1,1,1,0,0,1,0,"ID_34bccb62e",1,2,"four",1
1,0,0,4,1,1,0,1,0,0,1,0,"ID_507ac45d2",1,2,"one",2
1,0,220000,4,1,2,1,1,0,1,1,0,"ID_4c7fb9099",1,2,"four",2
2,1,78039,3,1,2,2,1,0,1,1,0,"ID_4463ba739",1,2,"four",7
1,0,0,4,1,3,2,1,0,2,1,0,"ID_5c3301e8d",1,2,"four",7
2,0,0,4,1,2,0,2,0,0,2,0,"ID_8970c3786",1,4,"two",8
1,0,0,4,1,3,1,2,0,1,1,0,"ID_3a41b446a",1,3,"two",8
0,0,0,6,1,1,0,1,0,0,0,0,"ID_0cffa3d12",1,1,"three",2
1,0,0,4,1,0,0,0,0,0,1,0,"ID_fb8263da8",1,1,"one",2
2,0,855810,7,1,1,0,1,0,0,2,0,"ID_5bd6254b3",1,3,"four",1
1,0,60000,4,1,2,1,1,0,1,1,0,"ID_680e50855",1,2,"four",2
3,0,0,4,1,1,1,0,0,1,3,0,"ID_3408e6e07",1,3,"two",1
1,0,0,5,1,2,0,2,0,0,1,0,"ID_81ff01c6d",1,3,"four",8
0,0,0,4,1,1,0,1,0,0,0,0,"ID_d405836ac",1,1,"four",2
1,0,0,4,1,0,0,0,0,0,1,0,"ID_d573a95c2",1,1,"four",2
3,0,50000,4,1,0,0,0,0,0,3,0,"ID_2a79c612e",1,3,"four",1
2,1,0,4,1,2,2,1,0,1,1,0,"ID_2faeabb0f",1,2,"four",7
0,0,0,4,1,1,0,1,0,0,0,0,"ID_619dc8c2f",1,1,"four",2
1,0,75000,4,0,1,0,1,0,0,1,0,"ID_3b01b84ed",1,2,"one",5
3,1,0,5,1,1,1,1,0,0,2,0,"ID_ed8849f44",1,3,"four",1
2,0,0,5,1,2,0,2,0,0,2,0,"ID_8926fb724",1,4,"four",8
0,0,0,1,0,1,0,1,0,0,0,0,"ID_8893ce01f",0,1,"two",6
1,0,0,7,1,2,1,1,0,1,1,0,"ID_80782f046",1,2,"four",2
3,0,0,6,1,2,0,2,0,0,3,0,"ID_af0dc61a7",1,5,"four",4
1,0,0,5,1,1,0,1,0,0,1,0,"ID_78ce19e9e",1,2,"four",2
2,0,2e+05,5,1,0,0,0,0,0,2,0,"ID_1441e817d",1,2,"four",1
1,0,0,6,1,2,0,2,0,0,1,0,"ID_4d8ec81ed",1,3,"four",8
3,0,250000,9,1,2,0,2,0,0,3,0,"ID_84e0fb6fd",1,5,"four",4
4,3,120000,3,1,1,3,1,0,0,1,0,"ID_c74bef8e8",1,2,"two",7
2,0,120000,5,1,1,0,1,0,0,2,0,"ID_79610bcb7",1,3,"four",1
1,0,470000,5,1,1,0,1,0,0,1,0,"ID_06762bf7b",1,2,"four",2
1,0,0,6,1,2,0,2,0,0,1,0,"ID_b4725482b",1,3,"two",8
2,1,2e+05,4,1,1,1,1,0,0,1,0,"ID_79e8ce079",1,2,"four",1
1,0,0,5,1,1,0,1,0,0,1,0,"ID_db43e7bc1",1,2,"four",2
1,0,0,6,1,3,1,2,0,1,1,0,"ID_992110c35",1,3,"four",8
1,0,0,6,1,0,0,0,0,0,1,0,"ID_2a535cb9d",1,1,"two",2
2,0,0,6,1,3,0,3,0,0,2,0,"ID_093e6ec79",1,5,"four",8
5,0,0,5,1,1,1,0,0,1,5,0,"ID_2de72feaf",1,5,"three",4
1,0,120000,4,1,1,0,1,0,0,1,0,"ID_4b35f0315",1,2,"four",2
1,0,0,4,1,2,0,2,0,0,1,0,"ID_44a8af5de",1,3,"four",8
1,0,0,4,1,2,0,2,0,0,1,0,"ID_2c3d365c1",1,3,"four",8
0,0,0,4,1,1,0,1,0,0,0,0,"ID_7998f0a78",1,1,"four",2
1,0,0,5,1,2,0,2,0,0,1,0,"ID_742a3c60d",1,3,"two",8
1,0,0,6,1,6,0,6,0,0,1,0,"ID_74a0931de",1,7,"three",8
1,0,0,8,1,3,1,2,0,1,1,0,"ID_0bff6eb49",1,3,"four",8
1,0,0,4,1,1,0,1,0,0,1,0,"ID_fc0c56e27",1,2,"three",2
1,0,0,3,1,0,0,0,0,0,1,0,"ID_7c1217ac6",1,1,"four",2
1,0,0,5,0,4,0,4,0,0,1,0,"ID_eede9032e",1,5,"four",5
3,1,0,4,1,3,2,2,0,1,2,0,"ID_e53b293c1",1,4,"four",7
4,2,2e+05,5,1,3,3,2,0,1,2,0,"ID_a1d0a66e0",1,4,"four",7
1,0,0,5,1,1,0,1,0,0,1,0,"ID_3f9183fe5",1,2,"four",2
1,0,0,4,1,1,0,1,0,0,1,0,"ID_0ccf6a0c1",1,2,"three",2
0,0,0,5,0,2,0,2,0,0,0,0,"ID_6e3e4548b",1,2,"three",5
2,0,0,5,1,2,0,2,0,0,2,0,"ID_481fe93f2",1,4,"two",8
1,0,0,5,1,1,0,1,0,0,1,0,"ID_4e70bf39e",1,2,"four",2
